nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.0,0.0,0.0,0.0,0.5857642,0.14048146,0.0,0.0,0.5458111,0.1506594,0.4334661,0.2018566,0.5246576,0.2595438,0.44595784,0.2923334,0.67597073,0.36380562,0.46197167,0.39808008,0.8373961,0.35384414,0.32746387,0.4664474,0.37997702,0.4931452,0.37668458,0.6284146,0.4188083,0.70260614,0.20795798,0.7219906,0.24858038,0.8436742
0.5724469,0.15615034,0.0,0.0,0.5698305,0.14278731,0.0,0.0,0.52978843,0.15379074,0.42077908,0.18472455,0.5197121,0.25616053,0.4002096,0.19444004,0.6638796,0.35925442,0.39718786,0.19615512,0.8192315,0.36683354,0.33813292,0.46130496,0.37924215,0.48353717,0.3711158,0.6644841,0.3817957,0.69818,0.21915236,0.80057484,0.14822665,0.83210814
0.569949,0.1554447,0.0,0.0,0.5687376,0.14389166,0.0,0.0,0.53515834,0.15705474,0.41310158,0.1877726,0.5316888,0.25999975,0.3627763,0.19001427,0.6863017,0.3584615,0.38426164,0.18534267,0.8252941,0.36863142,0.3366931,0.4609502,0.38440272,0.48329273,0.37537238,0.67524284,0.37173268,0.7037203,0.23887043,0.80978775,0.14651442,0.83735484
0.5576575,0.15735911,0.0,0.0,0.5572686,0.14592776,0.0,0.0,0.5264189,0.16106248,0.40214068,0.19130501,0.52413166,0.26475292,0.3529334,0.19405705,0.675389,0.36446258,0.38033777,0.1864421,0.8140253,0.3731836,0.3276924,0.46544105,0.37776983,0.48788342,0.36387125,0.67803067,0.3598631,0.70723945,0.23029661,0.8063168,0.13366173,0.83516735
0.57320154,0.15979417,0.0,0.0,0.5719685,0.1454549,0.0,0.0,0.54242843,0.1557961,0.403318,0.1989488,0.5420359,0.2642682,0.36853412,0.21112014,0.66286427,0.35793778,0.39322165,0.1931261,0.82118356,0.3609722,0.33270618,0.46198708,0.39662138,0.48718888,0.40341127,0.6394759,0.3557164,0.7088599,0.31414124,0.7537912,0.16450508,0.83417666
0.6017208,0.15766184,0.0,0.0,0.600061,0.14635548,0.0,0.0,0.56732017,0.15573272,0.43658665,0.20505477,0.55886674,0.26311758,0.37806526,0.22927138,0.67879623,0.36606538,0.4071484,0.21614811,0.8105962,0.37596738,0.396105,0.45588702,0.4262705,0.485388,0.5110137,0.6089657,0.3608711,0.6966954,0.4668765,0.7512432,0.12418509,0.8337797
0.6404252,0.15894158,0.0,0.0,0.6339873,0.14879364,0.0,0.0,0.59518385,0.16080429,0.4700529,0.2079094,0.5903563,0.26537418,0.40056762,0.23640746,0.6856056,0.38117483,0.43922478,0.22274965,0.7867026,0.39389232,0.42984328,0.4577056,0.45682484,0.48581377,0.54203725,0.62408704,0.3741877,0.69868106,0.51164126,0.75210345,0.12472401,0.82759243
0.67089635,0.15710048,0.0,0.0,0.6660305,0.14614658,0.0,0.0,0.6255923,0.1564835,0.5048458,0.20992884,0.616981,0.26229572,0.501551,0.27864262,0.7048928,0.3774824,0.0,0.0,0.80188435,0.39953062,0.45626986,0.46127862,0.48485595,0.4866619,0.5581256,0.62608504,0.39340875,0.6926823,0.54676557,0.764246,0.12574863,0.82581323
0.6972652,0.15922442,0.0,0.0,0.6989858,0.15058136,0.0,0.0,0.66152215,0.15988818,0.53119856,0.19900732,0.6381741,0.263122,0.44956282,0.24724722,0.71674675,0.38493198,0.4366436,0.29118255,0.78967035,0.40622765,0.5025721,0.45489746,0.5141485,0.48483738,0.66926706,0.5954691,0.43372887,0.67844564,0.70113313,0.77568567,0.21056609,0.80234057
0.69892466,0.16044202,0.0,0.0,0.7007936,0.15165968,0.0,0.0,0.6630477,0.16070543,0.5345371,0.20175193,0.63904995,0.26546776,0.45388418,0.25004187,0.72001994,0.3889486,0.4424948,0.29397365,0.78967434,0.4078256,0.50529665,0.4580214,0.5139977,0.4876916,0.6738583,0.5990312,0.4289832,0.6816837,0.70602345,0.77384144,0.2062187,0.79914767
0.706475,0.16101071,0.0,0.0,0.70600086,0.15234876,0.0,0.0,0.6600729,0.16483603,0.52913266,0.20573555,0.6426174,0.27669308,0.4399319,0.25133738,0.706317,0.39480954,0.42132854,0.28607246,0.7723215,0.41801617,0.5137539,0.4707022,0.5278089,0.50239205,0.6792949,0.60058546,0.44101486,0.6920978,0.74286324,0.7896827,0.20351373,0.8203955
0.6994264,0.16482182,0.0,0.0,0.7021668,0.15618815,0.0,0.0,0.6596442,0.16775522,0.5185906,0.2069753,0.64122844,0.2815702,0.43167675,0.26575017,0.69843805,0.4109205,0.4097284,0.30693793,0.7616715,0.4367919,0.5036463,0.4784086,0.52155375,0.510344,0.6892966,0.6169621,0.44529793,0.70677865,0.76474994,0.8099953,0.18566498,0.8177376
